iterations ,offDiag
198,157.391131
199,155.223451
200,152.723643
201,150.280025
202,147.890653
203,145.533322
204,143.22648
205,140.877318
206,138.554162
207,136.366756
208,134.1923
209,132.155437
210,130.935961
211,128.569153
212,126.566157
213,124.552742
214,122.532669
215,120.722544
216,118.744563
217,116.715737
218,114.747949
219,112.935592
220,111.126872
221,109.476049
222,107.784681
223,106.258574
224,104.59796
225,103.055834
226,101.410225
227,99.751258
228,98.365667
229,96.746165
230,95.200044
231,94.501645
232,93.042244
233,91.582589
234,90.097892
235,88.689758
236,87.286716
237,86.90055
238,85.582414
239,84.33597
240,82.996455
241,81.655616
242,80.463001
243,79.137899
244,77.842024
245,76.5733
246,76.25254
247,74.623678
248,73.371657
249,72.206954
250,70.970922
251,69.738262
252,68.534436
253,67.343199
254,66.159692
255,65.041808
256,63.932352
257,62.560559
258,61.591296
259,60.506268
260,59.468024
261,58.469105
262,57.425857
263,56.436159
264,55.499037
265,54.521928
266,53.566747
267,52.69187
268,51.812119
269,50.92488
270,50.027362
271,49.098651
272,48.214024
273,47.370898
274,46.531252
275,45.724067
276,44.932549
277,44.22678
278,43.396111
279,42.584192
280,41.78528
281,40.996562
282,40.222539
283,39.473673
284,38.757658
285,38.162937
286,37.445128
287,36.720851
288,36.039371
289,35.345239
290,34.696871
291,34.023971
292,33.354231
293,32.709766
294,32.128633
295,31.507956
296,30.88839
297,30.249588
298,29.627125
299,29.046086
300,28.448886
301,27.83977
302,27.232538
303,26.662929
304,26.123732
305,25.600793
306,25.074404
307,24.5663
308,24.045119
309,23.527961
310,23.026301
311,22.522997
312,22.022261
313,21.553835
314,21.079937
315,20.606507
316,20.149761
317,19.852869
318,19.40251
319,18.957736
320,18.510598
321,18.070693
322,17.632448
323,17.198768
324,16.784726
325,16.379378
326,15.987119
327,15.608247
328,15.219196
329,14.829647
330,14.464843
331,14.089212
332,13.725713
333,13.36878
334,13.027927
335,12.698732
336,12.375175
337,12.065829
338,11.768601
339,11.469662
340,11.168652
341,10.866974
342,10.569584
343,10.275071
344,9.982897
345,9.69008
346,9.406332
347,9.129095
348,8.857915
349,8.590087
350,8.335129
351,8.080978
352,7.83537
353,7.604965
354,7.380499
355,7.159193
356,6.940216
357,6.722392
358,6.519118
359,6.304716
360,6.089569
361,5.880608
362,5.675046
363,5.477845
364,5.288748
365,5.13519
366,4.968843
367,4.802209
368,4.64275
369,4.49109
370,4.344333
371,4.20383
372,4.064996
373,3.939546
374,3.820625
375,3.702224
376,3.585531
377,3.470876
378,3.356985
379,3.243644
380,3.134091
381,3.029954
382,2.933035
383,2.841791
384,2.751813
385,2.666154
386,2.584977
387,2.504597
388,2.425901
389,2.347705
390,2.27469
391,2.204756
392,2.13749
393,2.07125
394,2.008668
395,1.947955
396,1.888052
397,1.828384
398,1.77036
399,1.712162
400,1.655114
401,1.601979
402,1.549792
403,1.498272
404,1.447854
405,1.400912
406,1.355519
407,1.312957
408,1.270926
409,1.229205
410,1.188473
411,1.148238
412,1.108876
413,1.070259
414,1.03429
415,0.998652
416,0.963303
417,0.928465
418,0.895489
419,0.862891
420,0.83293
421,0.80318
422,0.775536
423,0.748801
424,0.722796
425,0.697012
426,0.672286
427,0.64851
428,0.62614
429,0.604004
430,0.58219
431,0.562317
432,0.542594
433,0.522981
434,0.503525
435,0.484459
436,0.46545
437,0.44799
438,0.431073
439,0.415183
440,0.399746
441,0.384578
442,0.370297
443,0.357002
444,0.344069
445,0.331509
446,0.320529
447,0.309948
448,0.300763
449,0.291835
450,0.283298
451,0.274763
452,0.266456
453,0.258487
454,0.250726
455,0.243357
456,0.236046
457,0.228819
458,0.221815
459,0.214825
460,0.208165
461,0.201821
462,0.195703
463,0.189753
464,0.183849
465,0.178009
466,0.172338
467,0.166719
468,0.16112
469,0.155866
470,0.150691
471,0.145547
472,0.140458
473,0.135438
474,0.130496
475,0.125823
476,0.121164
477,0.116515
478,0.111977
479,0.107941
480,0.103917
481,0.100089
482,0.096451
483,0.092841
484,0.089322
485,0.085817
486,0.082448
487,0.079135
488,0.075876
489,0.072648
490,0.069455
491,0.066323
492,0.063297
493,0.060348
494,0.057501
495,0.054677
496,0.051859
497,0.049061
498,0.046279
499,0.043919
500,0.041917
501,0.039961
502,0.038017
503,0.036107
504,0.034286
505,0.032672
506,0.031145
507,0.029795
508,0.02846
509,0.027137
510,0.025821
511,0.024529
512,0.023246
513,0.021976
514,0.020715
515,0.019471
516,0.018299
517,0.017199
518,0.016155
519,0.015171
520,0.014261
521,0.013353
522,0.01252
523,0.011773
524,0.011044
525,0.010323
526,0.009751
527,0.009199
528,0.008686
529,0.008178
530,0.007703
531,0.007238
532,0.006781
533,0.006382
534,0.006001
535,0.005677
536,0.005358
537,0.005093
538,0.004838
539,0.00459
540,0.004343
541,0.004099
542,0.003861
543,0.00363
544,0.00343
545,0.003247
546,0.003076
547,0.002915
548,0.002758
549,0.002615
550,0.002473
551,0.002339
552,0.002211
553,0.002093
554,0.001977
555,0.001867
556,0.001762
557,0.001662
558,0.001563
559,0.001469
560,0.001379
561,0.001297
562,0.001221
563,0.001145
564,0.001078
565,0.001013
566,0.000956
567,0.000899
568,0.000844
569,0.000789
570,0.000736
571,0.000686
572,0.000641
573,0.000598
574,0.000555
575,0.000517
576,0.000481
577,0.000451
578,0.000421
579,0.000393
580,0.000367
581,0.000341
582,0.000316
583,0.000296
584,0.000277
585,0.000258
586,0.000239
587,0.000223
588,0.000207
589,0.000192
590,0.000179
591,0.000166
592,0.000154
593,0.000143
594,0.000133
595,0.000124
596,0.000115
597,0.000106
598,0.000098
599,0.00009
600,0.000083
601,0.000077
602,0.000071
603,0.000065
604,0.000059
605,0.000054
606,0.00005
607,0.000045
608,0.00004
609,0.000036
610,0.000032
611,0.000028
612,0.000025
613,0.000022
614,0.00002
615,0.000018
